Year,Gender,Award,HigherSAT,Height,Weight,Siblings,BirthOrder,VerbalSAT,MathSAT,SAT,GPA,Piercings
Sophomore,M,Nobel,Math,70,173,1,1,580,680,1260,3,0
Sophomore,M,Nobel,Math,65,195,2,1,620,630,1250,3.5,0
Sophomore,F,Nobel,Verbal,73,120,1,1,680,670,1350,3.95,0
FirstYear,M,Olympic,Math,78,225,2,1,570,670,1240,2.1,0
FirstYear,F,Nobel,Verbal,65,160,1,2,500,450,950,3,5
Sophomore,F,Nobel,Verbal,63,120,2,1,800,750,1550,3,3
Sophomore,F,Nobel,Verbal,68,138,1,2,610,540,1150,3.75,4
Sophomore,M,Nobel,Math,72,260,2,3,550,550,1100,2.5,1
Sophomore,M,Nobel,Math,70,150,2,3,600,620,1220,3.4,0
FirstYear,F,Nobel,Verbal,67,135,3,4,660,550,1210,3.4,7
Sophomore,F,Nobel,Verbal,72,165,1,1,640,560,1200,3.14,7
FirstYear,M,Olympic,Math,68,142,3,4,560,580,1140,2.6,0
Sophomore,M,Nobel,Verbal,78,210,6,5,600,600,1200,3.4,0
Sophomore,M,Olympic,Math,69,171,1,1,480,530,1010,2.7,0
Sophomore,F,Olympic,Verbal,80,150,4,1,650,600,1250,3.15,2
Sophomore,M,Olympic,Math,71,188,3,1,520,600,1120,2.2,0
Sophomore,M,Nobel,Verbal,70,195,0,1,640,640,1280,3.5,0
FirstYear,M,Olympic,Math,75,230,2,1,610,620,1230,2.9,0
Sophomore,F,Olympic,Verbal,64,140,2,3,450,400,850,2.5,4
Sophomore,M,Nobel,Verbal,78,200,1,1,700,600,1300,3.5,0
Senior,F,Nobel,Math,68,140,0,1,540,680,1220,3.6,2
FirstYear,F,Nobel,Verbal,69,180,5,3,550,540,1090,3.1,2
Sophomore,F,Nobel,Math,63,160,1,1,640,680,1320,3,4
Sophomore,F,Olympic,Verbal,64,135,3,2,560,540,1100,3,5
Sophomore,F,Nobel,Math,63,140,2,3,530,700,1230,3.8,4
Sophomore,F,Olympic,Math,72,155,2,1,620,650,1270,3.15,2
Sophomore,M,Nobel,Math,63,235,5,3,550,560,1110,2.75,0
FirstYear,F,Olympic,Math,63,140,3,2,520,540,1060,2.8,4
Sophomore,F,Nobel,Verbal,68,130,2,3,660,580,1240,3,2
Junior,F,Olympic,Math,67,125,5,4,470,600,1070,3.1,2
FirstYear,M,Olympic,Math,71,222,1,1,570,580,1150,2.27,0
FirstYear,F,Academy,Verbal,65,128,3,1,560,550,1110,2.8,2
FirstYear,M,Olympic,Math,72,183,2,2,520,540,1060,3.02,0
Junior,M,Olympic,Verbal,75,175,0,1,560,500,1060,2.93,0
FirstYear,F,Nobel,Verbal,59,125,1,1,600,600,1200,3.2,2
Sophomore,F,Academy,Math,69,156,1,1,400,420,820,3,3
FirstYear,F,Olympic,Math,63,145,3,4,540,630,1170,3,0
Sophomore,M,Olympic,Math,74,195,4,2,400,460,860,2.7,0
Sophomore,M,Olympic,Math,70,185,2,1,530,725,1255,3.2,0
FirstYear,F,Nobel,Math,64,150,1,1,530,600,1130,2.9,5
Sophomore,F,Nobel,Math,67,140,0,,517,561,1078,3,2
FirstYear,M,Olympic,Verbal,66,150,1,1,620,580,1200,2.72,0
FirstYear,F,Nobel,Math,67,150,0,1,590,640,1230,3.3,2
Senior,M,Olympic,Verbal,71,195,2,3,620,600,1220,2.22,0
Sophomore,F,Olympic,Math,66,140,1,2,540,690,1230,3.26,2
FirstYear,F,Academy,Math,68,135,2,3,490,540,1030,3.5,7
Sophomore,F,Olympic,Verbal,67,138,1,1,540,520,1060,3.1,2
Senior,F,Olympic,Verbal,69,170,2,3,640,600,1240,3.3,2
Sophomore,F,Olympic,Verbal,66,145,1,1,620,620,1240,3.29,2
FirstYear,F,Nobel,Verbal,68,140,0,1,800,670,1470,3.69,2
Sophomore,M,Olympic,Math,71,155,2,2,510,650,1160,2.65,0
Senior,M,Olympic,Math,70,155,1,2,620,690,1310,3.25,0
Sophomore,M,Olympic,Verbal,66,155,1,1,670,650,1320,2.8,0
Sophomore,F,Nobel,Verbal,65,135,2,3,560,510,1070,3.36,2
Junior,M,Nobel,Verbal,70,165,1,1,630,600,1230,2.97,0
FirstYear,M,Academy,Math,71,160,2,1,590,740,1330,3.31,0
Sophomore,M,Nobel,Verbal,71,175,1,1,630,620,1250,3.05,0
Sophomore,M,Olympic,Math,70,183,3,2,470,500,970,2.2,4
Sophomore,F,Nobel,Verbal,65,140,2,3,550,540,1090,3.3,4
Sophomore,F,Nobel,Verbal,67,140,1,1,690,660,1350,3.45,6
Junior,F,Nobel,Math,61,110,2,2,660,700,1360,3.83,4
Sophomore,F,Nobel,Verbal,68,125,0,1,600,590,1190,3,4
Senior,F,Olympic,Verbal,65,125,2,2,700,560,1260,3.35,8
FirstYear,M,Olympic,Math,70,180,2,3,660,690,1350,2.4,0
Sophomore,M,Olympic,Math,72,195,2,3,540,650,1190,3.1,0
Sophomore,F,Academy,Math,66,128,3,3,520,630,1150,3.4,2
FirstYear,M,Olympic,Math,71,172,1,1,550,580,1130,2.82,0
Sophomore,F,Olympic,Math,64,150,1,1,600,620,1220,2.9,2
Sophomore,M,Olympic,Math,73,188,1,1,600,640,1240,3.4,0
Sophomore,F,Olympic,Verbal,60,110,2,1,520,480,1000,3.2,7
Sophomore,F,Olympic,Math,64,125,1,1,490,610,1100,3.2,5
Sophomore,F,Olympic,Math,65,135,3,1,600,650,1250,3.8,0
FirstYear,F,Olympic,Verbal,65,130,2,2,620,520,1140,3.57,2
Sophomore,M,Olympic,Math,73,230,2,2,530,620,1150,3.33,0
Sophomore,M,Nobel,Math,69,198,1,2,550,620,1170,2.9,0
Sophomore,M,Olympic,Math,66,150,1,2,610,680,1290,3.1,1
Sophomore,M,Olympic,Math,73,175,3,1,550,600,1150,3.25,0
Junior,M,Nobel,Math,71,160,3,4,560,580,1140,3.4,0
Junior,F,Nobel,Math,65,140,2,3,670,710,1380,3.8,2
Sophomore,M,Nobel,Verbal,75,200,1,1,610,600,1210,3.38,0
Sophomore,F,Nobel,Math,63,130,1,1,660,720,1380,3.88,4
Sophomore,M,Olympic,Math,74,210,3,3,630,660,1290,2.75,0
Sophomore,M,Olympic,Math,70,210,2,2,520,580,1100,2.9,0
Sophomore,F,Nobel,Math,63,145,4,5,670,750,1420,3.6,5
Sophomore,M,Olympic,Math,75,156,3,1,550,710,1260,2.8,0
FirstYear,M,Olympic,Math,71,207,0,1,560,680,1240,2.2,1
Sophomore,F,Olympic,Verbal,68,137,2,2,600,500,1100,3.3,0
FirstYear,M,Olympic,Math,72,153,2,3,560,690,1250,2.85,0
Junior,F,Nobel,Math,63,175,2,3,610,660,1270,3.37,2
